"time";"M";"lac";"mu";"K";"gam";"laa";"x";"island_ontogeny";"sea_level";"max_area";"current_area";"peak_time";"total_island_age";"sea_level_amplitude";"sea_level_frequency";"island_gradient_angle";"extcutoff";"x_s";"x_nonend"
2,55;1000;0,04;3,9;0,001;0,13452;0,059;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,001;0,13452;0,059;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,01;0,13452;0,059;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,01;0,13452;0,059;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,01;0,13452;0,059;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,01;0,13452;0,059;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;Inf;0,13452;0,059;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;Inf;0,13452;0,059;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;Inf;0,13452;0,059;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;Inf;0,13452;0,059;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,001;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,001;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,001;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,001;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,01;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,01;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,01;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,01;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;Inf;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;Inf;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;Inf;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;Inf;0,06726;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,001;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,001;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,001;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,001;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,01;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,01;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,01;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,01;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;Inf;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;Inf;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;Inf;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;Inf;0,13452;0,118;0,15;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,001;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,001;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,001;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,001;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,01;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,01;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,01;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,01;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;Inf;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;Inf;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;Inf;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;Inf;0,06726;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,001;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,001;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,001;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,001;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,01;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,01;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,01;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,01;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;Inf;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;Inf;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;Inf;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;Inf;0,13452;0,059;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,001;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,001;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,001;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,001;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,01;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,01;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,01;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,01;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;Inf;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;Inf;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;Inf;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;Inf;0,06726;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,001;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,001;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,001;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,001;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;0,01;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;0,01;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;0,01;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;0,01;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;1,95;Inf;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;1,95;Inf;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,04;3,9;Inf;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
2,55;1000;0,08;3,9;Inf;0,13452;0,118;0,3;"beta";"const";13500;3155;0,53;2,864;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,001;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,001;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,001;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,001;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,01;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,01;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,01;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,01;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;Inf;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;Inf;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;Inf;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;Inf;0,06726;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,001;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,001;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,001;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,001;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,01;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,01;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,01;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,01;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;Inf;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;Inf;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;Inf;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;Inf;0,13452;0,059;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,001;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,001;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,001;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,001;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,01;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,01;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,01;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,01;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;Inf;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;Inf;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;Inf;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;Inf;0,06726;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,001;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,001;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,001;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,001;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,01;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,01;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,01;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,01;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;Inf;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;Inf;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;Inf;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;Inf;0,13452;0,118;0,15;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,001;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,001;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,001;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,001;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,01;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,01;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,01;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,01;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;Inf;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;Inf;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;Inf;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;Inf;0,06726;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,001;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,001;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,001;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,001;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,01;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,01;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,01;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,01;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;Inf;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;Inf;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;Inf;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;Inf;0,13452;0,059;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,001;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,001;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,001;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,001;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,01;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,01;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,01;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,01;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;Inf;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;Inf;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;Inf;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;Inf;0,06726;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,001;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,001;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,001;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,001;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;0,01;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;0,01;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;0,01;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;0,01;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;1,95;Inf;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;1,95;Inf;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,04;3,9;Inf;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
6,15;1000;0,08;3,9;Inf;0,13452;0,118;0,3;"beta";"const";3787;1431;0,27;8,473;0;0;0;1000;0;0
